ISBN,Title,Author,Edition,Publisher,Date,Dewey,LCCN,CatalogNumber,Pages,Source,Error
9780060738174,Misquoting Jesus,"Ehrman, Bart D.",1st ed.,,2005,225.4/86,2005046326,,,Library of Congress,
0891097287,message,"Peterson, Eugene H.,",,,1993,225.5/209,92063203,,,Library of Congress,
0800608976,Hear then the parable,"Scott, Bernard Brandon,",,,1989,226/.806,88045248,,,Library of Congress,
0830817778,Dictionary of Jesus and the Gospels,"Green, Joel B.,",,,1992,226/.03,91032382,,,Library of Congress,
9780664227869,Matthew for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.2/077,2006296518,,,Library of Congress,
9780664227876,Matthew for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.2/077,2006296518,,,Library of Congress,
0832910627,The Cotton Patch Version of Matthew and John,Clarence Jordan,,New Win Publishing,1970,,,CatalogNumber 0832910627,0,Google Books,
0804231265,Matthew,"Hare, Douglas R. A.",,,1993,226.2/07,92017838,,,Library of Congress,
066422492x,"The Gospel of Matthew, Volume Two",William Barclay,,Westminster John Knox Press,2002-01-01,,,CatalogNumber 066422492x,0,Google Books,
0664224911,Gospel of Matthew,"Barclay, William,",Rev. and updated.,,2001,226.2/077,2001046940,,,Library of Congress,
0840774842,Gospel parallels,"Throckmorton, Burton Hamilton,",5th ed.,,1992,226/.1,92029948,,,Library of Congress,
066424100x,Gospel of Matthew,"Barclay, William,",Rev. ed.,,1975,226/.2/077,74028251,,,Library of Congress,
1573225096,Mary Magdalen,"Haskins, Susan.",,,1995,226/.092,95022202,,,Library of Congress,
0570032687,Jesus/now,"Brandt, Leslie F.",,,1978,226/.09505,77028652,,,Library of Congress,
9780664227838,Mark for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.3/077,2006296516,,,Library of Congress,
0664241026,Gospel of Mark,"Barclay, William,",,,1975,226/.3/077,74028250,,,Library of Congress,
0664224881,Gospel of Mark,"Barclay, William,",,,2001,226.3/077,2001046839,,,Library of Congress,
0802819478,"Poet & peasant ; and, Through peasant eyes","Bailey, Kenneth E.",Combined ed.,,1983,226/.406,83005581,,,Library of Congress,
9780802819475,"Poet & peasant ; and, Through peasant eyes","Bailey, Kenneth E.",Combined ed.,,1983,226/.406,83005581,,,Library of Congress,
0804231214,Mark,"Williamson, Lamar.",,,1983,226/.307,82017161,,,Library of Congress,
0939697262,Mark,"Weaver, Walter P.",,,1988,220.7 s 226/.307,88180609,,,Library of Congress,
0804231257,John,"Sloyan, Gerard S.,",,,1988,226/.507,87045549,,,Library of Congress,
0664241042,Gospel of John,"Barclay, William,",Rev. ed.,,1975,226/.5/077,74030031,,,Library of Congress,
0664224903,The Gospel of John,William L. Barclay,,Westminster John Knox Press,June 2001,,,CatalogNumber 0664224903,284,Open Library,
9780664227845,Luke for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.4/077,2006296517,,,Library of Congress,
0804231230,Luke,"Craddock, Fred B.,",,,1990,226.4/07,90032985,,,Library of Congress,
0664224873,Gospel of Luke,"Barclay, William,",Rev. and updated ed.,,2001,226.4/077,2001045375,,,Library of Congress,
0664224903,The Gospel of John,William L. Barclay,,Westminster John Knox Press,June 2001,,,CatalogNumber 0664224903,284,Open Library,
0883449757,Parables,"McKenna, Megan.",,,1994,226.8/06,94016333,,,Library of Congress,
1573121673,Studying the parables of Jesus,"Jones, Peter Rhea.",,,1999,226.8/06,97008700,,,Library of Congress,
0817006869,And he had compassion,"Barclay, William,",[Rev. ed.; Judson Press ed.],,1976,232.9/5,75028099,,,Library of Congress,
066425828x,The Parables of Jesus,William Barclay,,Westminster John Knox Press,1999-02-01,,,CatalogNumber 066425828x,228,Google Books,
9780664227968,Acts for everyone,"Wright, N. T. (Nicholas Thomas)",,,2008,226.6/077,2007046616,,,Library of Congress,
9780664227951,Acts for everyone,"Wright, N. T. (Nicholas Thomas)",,,2008,226.6/077,2007046616,,,Library of Congress,
9780664227906,John for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.5/077,2006296519,,,Library of Congress,
9780664227890,John for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.5/077,2006296519,,,Library of Congress,
0023605103,Parables of Jesus (2nd Edition),"Jeremias, Joachim",,Prentice Hall,"January 1, 1972",,,CatalogNumber 0023605103,248,Open Library,
9780664258283,The Parables of Jesus (The William Barclay Library),William L. Barclay,,Westminster John Knox Press,February 1999,,,CatalogNumber 9780664258283,222,Open Library,
9780664258153,The Lord's Prayer (The William Barclay Library),William L. Barclay,,Westminster John Knox Press,February 1999,,,CatalogNumber 9780664258153,128,Open Library,
0664258158,The Lord's Prayer (The William Barclay Library),William L. Barclay,,Westminster John Knox Press,February 1999,,,CatalogNumber 0664258158,128,Open Library,
9780687642243,eight blessings,"Stanford, Shane,",,,2007,241.5/3,2006101289,,,Library of Congress,
0849913241,applause of heaven,"Lucado, Max.",,,1996,226.9/306,96158744,,,Library of Congress,
084991423x,The Applause of Heaven,Max Lucado,,,1996,,,CatalogNumber 084991423x,755,Google Books,
0687078407,Paul and the Corinthians,"Wingard, Robert W.",,,1999,227/.206,00708588,,,Library of Congress,
0939697319,1 and 2 Corinthians,"Madsen, Norman P.",,,1988,220.7 s 227/.207,88180780,,,Library of Congress,
